amd,rcm,padding,matrix_name,partial_gauss,_step,n,rank,_runtime,max_mode_size,z,tile_size,_timestamp,run_id,run_name
False,False,10,ex15,5,3.0,6872.0,22.0,4.941709041595459,859.0,98620.0,859.0,1718227889.4327931,ejjf6ewq,playful-sweep-2410
False,False,10,ex15,5,4.0,6872.0,10.0,5.129257917404175,1718.0,98620.0,1718.0,1718227889.620342,ejjf6ewq,playful-sweep-2410
False,False,10,ex15,5,5.0,6872.0,4.0,5.3167572021484375,3436.0,98620.0,3436.0,1718227889.8078413,ejjf6ewq,playful-sweep-2410
False,False,10,ex15,5,6.0,6872.0,1.0,5.535457611083984,6872.0,98620.0,6872.0,1718227890.0265417,ejjf6ewq,playful-sweep-2410
False,True,10,ex15,5,0.0,6872.0,80175.0,4.0180137157440186,859.0,98620.0,2.0,1718227872.9665277,mdg64dxo,decent-sweep-2409
False,True,10,ex15,5,1.0,6872.0,44530.0,4.924259424209595,859.0,98620.0,4.0,1718227873.8727734,mdg64dxo,decent-sweep-2409
False,True,10,ex15,5,2.0,6872.0,19636.0,5.380164861679077,859.0,98620.0,8.0,1718227874.3286788,mdg64dxo,decent-sweep-2409
False,True,10,ex15,5,3.0,6872.0,24.0,5.536451101303101,859.0,98620.0,859.0,1718227874.484965,mdg64dxo,decent-sweep-2409
False,True,10,ex15,5,4.0,6872.0,12.0,5.7239463329315186,1718.0,98620.0,1718.0,1718227874.6724603,mdg64dxo,decent-sweep-2409
False,True,10,ex15,5,5.0,6872.0,4.0,5.942692995071411,3436.0,98620.0,3436.0,1718227874.891207,mdg64dxo,decent-sweep-2409
False,True,10,ex15,5,6.0,6872.0,1.0,6.161472320556641,6872.0,98620.0,6872.0,1718227875.1099863,mdg64dxo,decent-sweep-2409
False,False,10,ex15,4,0.0,6873.0,33264.0,2.9117431640625,79.0,98637.0,3.0,1718227861.5766032,zgnio05m,vivid-sweep-2408
False,False,10,ex15,4,1.0,6873.0,1641.0,3.130875825881958,79.0,98637.0,29.0,1718227861.7957358,zgnio05m,vivid-sweep-2408
False,False,10,ex15,4,2.0,6873.0,259.0,3.287163019180298,79.0,98637.0,79.0,1718227861.952023,zgnio05m,vivid-sweep-2408
False,False,10,ex15,4,3.0,6873.0,235.0,3.427774667739868,87.0,98637.0,87.0,1718227862.0926347,zgnio05m,vivid-sweep-2408
False,False,10,ex15,4,4.0,6873.0,85.0,3.5527825355529785,237.0,98637.0,237.0,1718227862.2176425,zgnio05m,vivid-sweep-2408
False,False,10,ex15,4,5.0,6873.0,7.0,3.725865602493286,2291.0,98637.0,2291.0,1718227862.3907256,zgnio05m,vivid-sweep-2408
False,False,10,ex15,4,6.0,6873.0,1.0,3.929018497467041,6873.0,98637.0,6873.0,1718227862.5938785,zgnio05m,vivid-sweep-2408
False,True,10,ex15,4,0.0,6873.0,59206.0,3.0079123973846436,79.0,98637.0,3.0,1718227851.4353623,wtpbusjg,true-sweep-2407
False,True,10,ex15,4,1.0,6873.0,4407.0,3.2422890663146973,79.0,98637.0,29.0,1718227851.669739,wtpbusjg,true-sweep-2407
False,True,10,ex15,4,2.0,6873.0,1007.0,3.398538112640381,79.0,98637.0,79.0,1718227851.825988,wtpbusjg,true-sweep-2407
False,True,10,ex15,4,3.0,6873.0,853.0,3.5547897815704346,87.0,98637.0,87.0,1718227851.9822397,wtpbusjg,true-sweep-2407
False,True,10,ex15,4,4.0,6873.0,165.0,3.679788112640381,237.0,98637.0,237.0,1718227852.107238,wtpbusjg,true-sweep-2407
False,True,10,ex15,4,5.0,6873.0,9.0,3.8516621589660645,2291.0,98637.0,2291.0,1718227852.279112,wtpbusjg,true-sweep-2407
False,True,10,ex15,4,6.0,6873.0,1.0,4.070393800735474,6873.0,98637.0,6873.0,1718227852.4978437,wtpbusjg,true-sweep-2407
False,False,10,ex15,3,0.0,6874.0,47706.0,3.317842721939087,491.0,98640.0,2.0,1718227840.5632267,666f0yyx,absurd-sweep-2406
False,False,10,ex15,3,1.0,6874.0,8771.0,3.9914298057556152,491.0,98640.0,7.0,1718227841.2368138,666f0yyx,absurd-sweep-2406
False,False,10,ex15,3,2.0,6874.0,3415.0,4.257076263427734,491.0,98640.0,14.0,1718227841.5024602,666f0yyx,absurd-sweep-2406
False,False,10,ex15,3,3.0,6874.0,40.0,4.36644983291626,491.0,98640.0,491.0,1718227841.6118338,666f0yyx,absurd-sweep-2406
False,False,10,ex15,3,4.0,6874.0,19.0,4.570011615753174,982.0,98640.0,982.0,1718227841.8153956,666f0yyx,absurd-sweep-2406
False,False,10,ex15,3,5.0,6874.0,4.0,4.757518291473389,3437.0,98640.0,3437.0,1718227842.0029023,666f0yyx,absurd-sweep-2406
False,False,10,ex15,3,6.0,6874.0,1.0,4.961037874221802,6874.0,98640.0,6874.0,1718227842.2064219,666f0yyx,absurd-sweep-2406
False,True,10,ex15,3,0.0,6874.0,80262.0,3.4571306705474854,491.0,98640.0,2.0,1718227830.5451906,ito8zjri,true-sweep-2405
False,True,10,ex15,3,1.0,6874.0,24177.0,4.005498886108398,491.0,98640.0,7.0,1718227831.0935588,ito8zjri,true-sweep-2405
False,True,10,ex15,3,2.0,6874.0,10469.0,4.2711241245269775,491.0,98640.0,14.0,1718227831.359184,ito8zjri,true-sweep-2405
False,True,10,ex15,3,3.0,6874.0,48.0,4.396116018295288,491.0,98640.0,491.0,1718227831.484176,ito8zjri,true-sweep-2405
False,True,10,ex15,3,4.0,6874.0,21.0,4.5680012702941895,982.0,98640.0,982.0,1718227831.6560612,ito8zjri,true-sweep-2405
False,True,10,ex15,3,5.0,6874.0,4.0,4.771564245223999,3437.0,98640.0,3437.0,1718227831.8596241,ito8zjri,true-sweep-2405
False,True,10,ex15,3,6.0,6874.0,1.0,4.974642753601074,6874.0,98640.0,6874.0,1718227832.0627027,ito8zjri,true-sweep-2405
False,False,10,ex15,2,0.0,6875.0,12971.0,2.1751325130462646,11.0,98647.0,5.0,1718227818.9695916,n4iaa0us,sparkling-sweep-2404
