amd,rcm,padding,matrix_name,partial_gauss,rank,tile_size,max_mode_size,z,n,_runtime,_timestamp,_step,run_id,run_name
False,True,10,bcsstk13,3,2581.0,30.0,67.0,75060.0,2010.0,4.126848936080933,1718630761.1809509,6.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,704.0,67.0,67.0,75060.0,2010.0,4.162932634353638,1718630761.2170346,7.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,213.0,134.0,134.0,75060.0,2010.0,4.192499160766602,1718630761.246601,8.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,100.0,201.0,201.0,75060.0,2010.0,4.226675271987915,1718630761.2807772,9.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,36.0,335.0,335.0,75060.0,2010.0,4.260879993438721,1718630761.314982,10.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,25.0,402.0,402.0,75060.0,2010.0,4.291994094848633,1718630761.346096,11.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,9.0,670.0,670.0,75060.0,2010.0,4.3182692527771,1718630761.3723712,12.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,4.0,1005.0,1005.0,75060.0,2010.0,4.346446514129639,1718630761.4005485,13.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,3,1.0,2010.0,2010.0,75060.0,2010.0,4.3745410442352295,1718630761.428643,14.0,erg02xbp,super-sweep-3373
False,True,10,bcsstk13,2,1.0,2011.0,2011.0,75067.0,2011.0,1.7355761528015137,1718630763.304629,0.0,haqnasdz,copper-sweep-3371
False,False,10,bcsstk13,2,1.0,2011.0,2011.0,75067.0,2011.0,1.5732884407043457,1718630762.8675885,0.0,k7li67op,rural-sweep-3372
False,False,10,bcsstk13,1,34037.0,2.0,503.0,74926.0,2012.0,1.955782413482666,1718630757.3192365,0.0,3oijpl31,likely-sweep-3370
False,False,10,bcsstk13,1,13535.0,4.0,503.0,74926.0,2012.0,2.410132884979248,1718630757.773587,1.0,3oijpl31,likely-sweep-3370
False,False,10,bcsstk13,1,16.0,503.0,503.0,74926.0,2012.0,2.464958906173706,1718630757.828413,2.0,3oijpl31,likely-sweep-3370
False,False,10,bcsstk13,1,4.0,1006.0,1006.0,74926.0,2012.0,2.5120837688446045,1718630757.8755379,3.0,3oijpl31,likely-sweep-3370
False,False,10,bcsstk13,1,1.0,2012.0,2012.0,74926.0,2012.0,2.5575315952301025,1718630757.9209857,4.0,3oijpl31,likely-sweep-3370
False,False,10,bcsstk13,0,18956.0,3.0,61.0,83883.0,2013.0,1.4812705516815186,1718630751.2285554,0.0,jrs30xel,sunny-sweep-3368
False,False,10,bcsstk13,0,3357.0,11.0,61.0,83883.0,2013.0,1.5952425003051758,1718630751.3425274,1.0,jrs30xel,sunny-sweep-3368
False,False,10,bcsstk13,0,755.0,33.0,61.0,83883.0,2013.0,1.6392409801483154,1718630751.3865259,2.0,jrs30xel,sunny-sweep-3368
False,False,10,bcsstk13,0,339.0,61.0,61.0,83883.0,2013.0,1.666485071182251,1718630751.41377,3.0,jrs30xel,sunny-sweep-3368
False,False,10,bcsstk13,0,75.0,183.0,183.0,83883.0,2013.0,1.7011420726776123,1718630751.448427,4.0,jrs30xel,sunny-sweep-3368
False,False,10,bcsstk13,0,9.0,671.0,671.0,83883.0,2013.0,1.7243881225585938,1718630751.471673,5.0,jrs30xel,sunny-sweep-3368
False,False,10,bcsstk13,0,1.0,2013.0,2013.0,83883.0,2013.0,1.7500617504119873,1718630751.4973466,6.0,jrs30xel,sunny-sweep-3368
False,True,10,bcsstk13,1,50883.0,2.0,503.0,74926.0,2012.0,1.6905200481414795,1718630751.822058,0.0,l6al1por,northern-sweep-3369
False,True,10,bcsstk13,1,29887.0,4.0,503.0,74926.0,2012.0,1.974412202835083,1718630752.10595,1.0,l6al1por,northern-sweep-3369
False,True,10,bcsstk13,1,16.0,503.0,503.0,74926.0,2012.0,2.005277633666992,1718630752.1368155,2.0,l6al1por,northern-sweep-3369
False,True,10,bcsstk13,1,4.0,1006.0,1006.0,74926.0,2012.0,2.0326550006866455,1718630752.164193,3.0,l6al1por,northern-sweep-3369
False,True,10,bcsstk13,1,1.0,2012.0,2012.0,74926.0,2012.0,2.061227321624756,1718630752.1927652,4.0,l6al1por,northern-sweep-3369
False,True,10,bcsstk13,0,37094.0,3.0,61.0,83883.0,2013.0,1.5737392902374268,1718630746.7163522,0.0,comyuani,rural-sweep-3367
False,True,10,bcsstk13,0,11805.0,11.0,61.0,83883.0,2013.0,1.6749281883239746,1718630746.8175411,1.0,comyuani,rural-sweep-3367
False,True,10,bcsstk13,0,2865.0,33.0,61.0,83883.0,2013.0,1.710150957107544,1718630746.852764,2.0,comyuani,rural-sweep-3367
False,True,10,bcsstk13,0,1007.0,61.0,61.0,83883.0,2013.0,1.7441706657409668,1718630746.8867836,3.0,comyuani,rural-sweep-3367
False,True,10,bcsstk13,0,121.0,183.0,183.0,83883.0,2013.0,1.774824857711792,1718630746.9174378,4.0,comyuani,rural-sweep-3367
False,True,10,bcsstk13,0,9.0,671.0,671.0,83883.0,2013.0,1.7969691753387451,1718630746.939582,5.0,comyuani,rural-sweep-3367
False,True,10,bcsstk13,0,1.0,2013.0,2013.0,83883.0,2013.0,1.816483497619629,1718630746.9590964,6.0,comyuani,rural-sweep-3367
False,True,9,bcsstk13,8,48552.0,2.0,167.0,75211.0,2004.0,3.6763341426849365,1718630742.5118132,0.0,ns0wzsd9,pious-sweep-3361
False,True,9,bcsstk13,8,37173.0,3.0,167.0,75211.0,2004.0,4.259729623794556,1718630743.0952086,1.0,ns0wzsd9,pious-sweep-3361
False,True,9,bcsstk13,8,28755.0,4.0,167.0,75211.0,2004.0,4.638508558273315,1718630743.4739876,2.0,ns0wzsd9,pious-sweep-3361
False,True,9,bcsstk13,8,19817.0,6.0,167.0,75211.0,2004.0,4.920153856277466,1718630743.7556329,3.0,ns0wzsd9,pious-sweep-3361
False,True,9,bcsstk13,8,9199.0,12.0,167.0,75211.0,2004.0,5.043879985809326,1718630743.879359,4.0,ns0wzsd9,pious-sweep-3361
False,True,9,bcsstk13,8,144.0,167.0,167.0,75211.0,2004.0,5.089223146438599,1718630743.9247022,5.0,ns0wzsd9,pious-sweep-3361
False,True,9,bcsstk13,8,36.0,334.0,334.0,75211.0,2004.0,5.144312858581543,1718630743.9797919,6.0,ns0wzsd9,pious-sweep-3361
False,True,9,bcsstk13,8,16.0,501.0,501.0,75211.0,2004.0,5.176892995834351,1718630744.012372,7.0,ns0wzsd9,pious-sweep-3361
False,True,9,bcsstk13,8,9.0,668.0,668.0,75211.0,2004.0,5.207253694534302,1718630744.0427327,8.0,ns0wzsd9,pious-sweep-3361
False,True,9,bcsstk13,8,4.0,1002.0,1002.0,75211.0,2004.0,5.2384278774261475,1718630744.073907,9.0,ns0wzsd9,pious-sweep-3361
False,True,9,bcsstk13,8,1.0,2004.0,2004.0,75211.0,2004.0,5.271997928619385,1718630744.107477,10.0,ns0wzsd9,pious-sweep-3361
False,True,9,bcsstk13,10,49447.0,2.0,13.0,75059.0,2002.0,3.663660764694214,1718630742.9161048,0.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,17381.0,7.0,13.0,75059.0,2002.0,3.913688898086548,1718630743.166133,1.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,10656.0,11.0,13.0,75059.0,2002.0,4.047455787658691,1718630743.2998998,2.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,8472.0,13.0,13.0,75059.0,2002.0,4.151859521865845,1718630743.4043036,3.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,7851.0,14.0,14.0,75059.0,2002.0,4.300404787063599,1718630743.5528488,4.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,4301.0,22.0,22.0,75059.0,2002.0,4.372574806213379,1718630743.6250188,5.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,3309.0,26.0,26.0,75059.0,2002.0,4.426010847091675,1718630743.6784549,6.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,572.0,77.0,77.0,75059.0,2002.0,4.467590808868408,1718630743.7200348,7.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,434.0,91.0,91.0,75059.0,2002.0,4.520224094390869,1718630743.7726681,8.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,190.0,143.0,143.0,75059.0,2002.0,4.559713125228882,1718630743.8121572,9.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,163.0,154.0,154.0,75059.0,2002.0,4.592803478240967,1718630743.8452475,10.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,117.0,182.0,182.0,75059.0,2002.0,4.6234047412872314,1718630743.8758488,11.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,49.0,286.0,286.0,75059.0,2002.0,4.662250280380249,1718630743.9146943,12.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,4.0,1001.0,1001.0,75059.0,2002.0,4.711950063705444,1718630743.964394,13.0,q2zlgtlv,fiery-sweep-3365
False,True,9,bcsstk13,10,1.0,2002.0,2002.0,75059.0,2002.0,4.751410245895386,1718630744.0038543,14.0,q2zlgtlv,fiery-sweep-3365
False,False,9,bcsstk13,9,1.0,2003.0,2003.0,75134.0,2003.0,1.4767298698425293,1718630735.015344,0.0,i0hx63jv,serene-sweep-3364
False,False,9,bcsstk13,10,32993.0,2.0,13.0,75059.0,2002.0,3.2956717014312744,1718630740.0346496,0.0,azoemfr8,lunar-sweep-3366
False,False,9,bcsstk13,10,6193.0,7.0,13.0,75059.0,2002.0,3.761672258377075,1718630740.5006502,1.0,azoemfr8,lunar-sweep-3366
